Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC
0,10.0,10.0,14.63842187,0.0,0.001501792,0.001922541,0.002200875,5.23041E-4
3,10.0,10.0,14.63842187,0.0080935,0.004609291,0.001311542,0.001133792,3.31459E-4
9,10.0,10.0,14.63842187,0.016079083,0.003918208,0.001550417,0.001445042,4.93542E-4
14,10.0,10.0,15.21180469,0.022801791,0.003295833,0.001305583,0.001294625,3.28959E-4
18,10.0,10.0,14.63842187,0.032663125,0.005425792,0.00132975,0.001569,8.06875E-4
54,10.0,10.0,15.25204219,0.046180791,0.008529375,0.001641333,0.001223666,4.73542E-4
60,10.0,10.0,15.25204219,0.059019791,0.008399417,0.00157525,0.001569167,4.5125E-4
65,10.0,10.0,15.25204219,0.073078791,0.006745584,0.001941625,0.00305475,0.001125958
84,10.0,10.0,15.26160469,0.084930708,0.00807325,0.001312292,9.9575E-4,3.45917E-4
103,10.0,10.0,15.32706469,0.097001791,0.007192208,0.002156583,0.0011515,3.87166E-4
111,10.0,10.0,15.32706469,0.124920625,0.02397875,0.001631333,0.001194834,4.19917E-4
126,10.0,10.0,15.32706469,0.136819833,0.007490833,0.001348916,0.001434292,6.01417E-4
152,10.0,10.0,15.21180469,0.147955208,0.007461,0.001292,9.7425E-4,3.37458E-4
232,10.16694374,14.63842187,15.32706469,0.16180425,0.007517792,0.001485917,0.001387666,7.72584E-4
287,10.79393418,14.63842187,15.32706469,0.177263666,0.008858,0.001566042,0.0010565,6.34167E-4
325,10.78116991,14.63842187,15.32706469,0.190385541,0.008313417,0.001352541,0.001205958,5.40416E-4
400,11.10999102,14.63842187,15.32706469,0.205441458,0.009186542,0.001501625,0.001194,5.24167E-4
493,11.2680294,13.0,15.33299344,0.220194541,0.008255292,0.001358959,0.001533917,4.3875E-4
595,11.56789326,15.07308,15.32706469,0.235086166,0.008706916,0.001323208,9.86E-4,3.46375E-4
776,12.15118776,14.52723,15.33299344,0.252105166,0.009197666,0.001083875,9.4625E-4,3.00709E-4
1131,12.70722889,14.4432,15.25204219,0.277938208,0.009686792,0.00128975,0.001221041,3.52458E-4
1250,12.55124395,14.50616,15.32706469,0.294949333,0.010081875,0.001644125,0.001112708,3.50458E-4
1642,12.66073642,14.52723,15.33299344,0.321452416,0.010371417,0.001415459,0.001016416,4.13667E-4
1825,12.7132862,15.17643,15.33299344,0.342558916,0.009954333,0.00154075,0.001231084,5.50167E-4
2849,13.03367381,15.17643,15.32706469,0.388654541,0.01185825,0.001366541,9.71666E-4,7.55417E-4
3891,13.39021932,15.31750219,15.32706469,0.434644833,0.012967833,0.001362,9.17083E-4,3.34791E-4
5295,13.68133052,15.32986969,15.32706469,0.530192833,0.035992625,0.006074042,0.00324475,0.003041417
6132,13.82374345,15.32986969,15.32706469,0.598198666,0.013208125,0.001840417,0.00122625,5.24458E-4
7423,14.07986883,15.32986969,15.32706469,0.65402775,0.011054042,0.002661459,0.001664666,4.75E-4
10861,14.20033981,15.32986969,15.32706469,0.769718875,0.010534709,0.001329708,0.001174541,4.63917E-4
13361,14.28441525,15.33299344,15.32706469,0.860976625,0.012097042,0.001445375,0.001404667,4.73333E-4
17102,14.41988253,15.33299344,15.33299344,0.990055375,0.013104167,0.001570708,0.001265334,5.46E-4
23259,14.53820363,15.33299344,15.33299344,1.20402575,0.011606667,0.001355584,9.82917E-4,3.22875E-4
25955,14.57068693,15.33299344,15.32706469,1.305250958,0.012302083,0.001576125,9.42125E-4,3.71416E-4
44512,14.79360084,15.33299344,15.32706469,1.93034725,0.012455167,0.001422875,0.0011055,3.13625E-4
54045,14.84331819,15.33299344,15.33299344,2.310502125,0.012437625,0.001678375,0.00112475,3.87291E-4
78210,14.91936945,15.33299344,15.33299344,3.290699458,0.014259042,0.002234708,0.001057917,5.20917E-4
100000,14.97893705,15.33299344,15.33299344,4.208874333,0.016879125,0.004167333,0.001187,4.43292E-4
