Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC
0,10.0,10.0,14.63842187,0.0,5.58542E-4,0.001048125,9.54375E-4,3.02458E-4
3,10.0,10.0,15.25204219,0.024159209,0.019680792,0.00134425,9.7475E-4,3.60125E-4
6,10.0,10.0,15.25204219,0.050280417,0.019656125,0.001747125,0.001021917,3.93625E-4
10,10.0,10.0,15.25204219,0.074672209,0.01655625,0.001338083,0.001038166,3.89959E-4
19,10.0,10.0,15.25204219,0.112586667,0.021852833,0.002861792,0.003617792,7.79125E-4
37,10.0,10.0,15.25204219,0.145059292,0.022816917,0.001415,0.001268875,4.40417E-4
73,10.04233391,14.78811039,15.1605,0.182371709,0.020232291,0.001516208,0.001185417,4.30417E-4
92,11.08462474,14.78811039,15.1605,0.218869875,0.025436125,0.001542791,0.0011545,3.89625E-4
98,11.85315102,14.78811039,15.1605,0.246378334,0.016776084,0.001394167,0.001056541,4.37584E-4
133,11.5326293,14.78811039,15.1605,0.280118125,0.022129167,0.00144225,0.001130625,3.86542E-4
221,12.01171679,14.78811039,15.25204219,0.315130584,0.01693175,0.001268792,9.82083E-4,3.995E-4
327,12.29171276,14.78811039,15.25204219,0.351032042,0.019564416,0.001278917,0.001044167,4.74125E-4
359,12.60092216,14.85709164,15.25204219,0.386042792,0.022281666,0.00145475,0.0010695,4.14708E-4
495,13.1256667,15.04081102,15.25204219,0.440034875,0.030365125,0.001267583,0.001145416,5.47E-4
566,13.12837454,15.04393477,15.25204219,0.473815834,0.019944,0.001273666,9.33459E-4,4.55458E-4
774,13.18426841,15.33299344,15.25204219,0.515081542,0.016171709,0.00123,9.66417E-4,3.8625E-4
1049,13.42323909,15.33299344,15.31750219,0.559679167,0.019740916,0.001230083,0.001718625,6.51125E-4
1100,13.48366899,15.33299344,15.31750219,0.594743084,0.017843625,0.001296417,0.001098916,6.17333E-4
1329,13.65064262,15.33299344,15.31750219,0.640477792,0.017351208,0.002866584,0.001145208,4.52667E-4
1487,13.69255816,15.33299344,15.31750219,0.679070917,0.018608792,0.001534292,0.002567458,3.98791E-4
1631,13.75247349,15.33299344,15.31750219,0.714564417,0.017753834,0.001293041,9.66458E-4,4.06791E-4
1714,13.76962873,15.33299344,15.31750219,0.752016709,0.015740834,0.002949667,0.001095417,3.87792E-4
1989,13.69681533,15.33299344,15.31750219,0.795289,0.020727208,0.001511458,0.001171416,4.175E-4
3391,13.84721042,15.33299344,15.33299344,0.883381,0.016491083,0.001248916,9.24625E-4,3.59667E-4
3727,14.06887919,15.33299344,15.33299344,0.930344667,0.019375583,0.001325959,9.86041E-4,4.14791E-4
4739,14.2085737,15.33299344,15.33299344,1.006973209,0.017919625,0.001321583,0.001325167,4.55375E-4
5785,14.19447839,15.33299344,15.33299344,1.085816834,0.016174375,0.001278667,9.62875E-4,3.84041E-4
6603,14.4236411,15.33299344,15.33299344,1.152501542,0.0217085,0.001395541,9.78042E-4,3.95333E-4
8821,14.51268609,15.33299344,15.33299344,1.276904625,0.021986833,0.001398875,0.001147958,3.84791E-4
10566,14.51822133,15.33299344,15.33299344,1.388592375,0.016816583,0.001224958,0.001108625,9.37333E-4
11579,14.48914569,15.33299344,15.33299344,1.478284959,0.023665875,0.001434042,0.004620833,6.05958E-4
13596,14.57971598,15.33299344,15.33299344,1.629855917,0.022809709,0.001678,0.001175709,3.78416E-4
21396,14.77633064,15.33299344,15.33299344,1.976897292,0.016616708,0.001280125,9.93708E-4,3.95917E-4
22000,14.78541878,15.33299344,15.33299344,2.042019375,0.021728,0.001296333,9.845E-4,3.9525E-4
26540,14.8961524,15.33299344,15.33299344,2.266279792,0.016670875,0.001634333,9.89333E-4,3.64667E-4
34868,14.86773372,15.33299344,15.33299344,2.659654,0.020137209,0.001323958,9.81959E-4,4.11958E-4
52208,14.9535496,15.33299344,15.33299344,3.429737625,0.020752667,0.001299167,9.73291E-4,3.835E-4
62129,14.98135822,15.33299344,15.33299344,3.866827042,0.017100209,0.001272542,9.87459E-4,3.80167E-4
100000,15.0651281,15.33299344,15.33299344,5.583194959,0.019554042,0.002961708,0.0011105,4.01791E-4
