Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC
0,10.0,10.0,17.6198833,0.0,0.002411208,0.006948209,0.008821791,0.001800125
4,10.0,10.0,19.37413051,0.103932542,0.062928958,0.011837958,0.008288708,0.004641875
7,10.0,10.0,19.41611132,0.238917084,0.081202459,0.013591709,0.017275625,0.00142375
13,10.0,10.0,19.9032878,0.329614417,0.042029167,0.007189125,0.007849583,0.00167225
16,10.0,10.0,19.9032878,0.419613625,0.042722125,0.006533625,0.010339625,0.001400708
20,10.0,10.0,19.9032878,0.531391584,0.052323541,0.015658916,0.010078625,0.001555083
30,10.0,10.0,19.92963951,0.629208625,0.040101875,0.007252459,0.01038575,0.001289125
35,10.0,10.0,19.92963951,0.728247375,0.042444292,0.008012083,0.009675,0.001415833
47,10.0,10.0,19.92963951,0.826413959,0.041591708,0.007326166,0.006973667,0.001309042
54,10.0,10.0,19.92963951,0.930491875,0.048113667,0.008049417,0.009693,0.001778958
60,10.21962573,18.9523221,19.92963951,1.10517725,0.046302041,0.008693459,0.074906625,0.001634875
75,10.0,10.0,19.92963951,1.219737334,0.049352667,0.010677833,0.007037583,0.001313541
94,10.59937607,18.9523221,19.92963951,1.33165675,0.044825084,0.012383792,0.009131583,0.001555792
128,10.6435339,18.9523221,19.94647666,1.438101875,0.044028417,0.007881125,0.010421166,0.001434333
137,10.86462635,18.9523221,19.94647666,1.53917175,0.0394685,0.010480125,0.007132458,0.002774084
157,11.43653373,18.9523221,19.94969472,1.686766417,0.064182584,0.010722917,0.00783475,0.001629625
202,12.73075166,18.9523221,19.94647666,1.796244875,0.03989275,0.014013458,0.009528542,0.001815625
220,12.95254213,18.9523221,19.94647666,1.90110975,0.041174417,0.008785542,0.006443375,0.001357458
239,13.5344929,18.9523221,19.92963951,2.008933292,0.043415375,0.009693583,0.007794417,0.001488542
315,14.24218755,19.0859567,19.94647666,2.12272725,0.0407955,0.006742834,0.010364625,0.001479833
365,14.62706433,19.0859567,19.94647666,2.240691125,0.042271333,0.011508167,0.008499666,0.00202575
406,15.03136297,19.20641654,19.94647666,2.351387792,0.039058083,0.0102415,0.006455625,0.001361417
452,15.42643446,19.86815186,19.9391729,2.469682042,0.042267709,0.012851667,0.007301042,0.00162425
479,15.59206228,19.87997681,19.94647666,2.582583417,0.043972,0.007174708,0.00940025,0.001510333
583,16.47542894,19.88407728,19.9391729,2.711774959,0.050614125,0.0076365,0.01049775,0.001394041
716,16.71099984,19.89099708,19.94647666,2.835486375,0.040300167,0.008510042,0.009444208,0.001554459
932,17.28961534,19.89835358,19.94969472,2.971227125,0.040977375,0.010125959,0.007764709,0.001400875
1042,17.33556041,19.89835358,19.94969472,3.092284417,0.038901125,0.006620917,0.0089855,0.001435
1125,17.56308228,19.89835358,19.94969472,3.215643375,0.046777833,0.0071385,0.006797708,0.001448125
1360,17.61675723,19.89835358,19.95416008,3.354501834,0.043908542,0.007502459,0.011149916,0.001557458
1556,17.76285969,19.89835358,19.96026481,3.493164959,0.04012975,0.010081292,0.00930225,0.001514917
1722,17.92439796,19.89835358,19.96026481,3.633066875,0.046063041,0.010271917,0.007007458,0.003359708
2265,17.97750785,19.89835358,19.96026481,3.826930667,0.040906875,0.009961875,0.007418083,0.0014385
2505,18.11880779,19.89835358,19.96026481,3.99244675,0.04842775,0.012266417,0.012472709,0.001455667
2672,18.20260556,19.89835358,19.96026481,4.166433584,0.044014833,0.01491725,0.008009,0.001493458
3021,18.249655,19.89835358,19.96345693,4.334935709,0.038354084,0.009606917,0.007122917,0.001210125
3968,18.24839949,19.89835358,19.96381446,4.54444475,0.04628775,0.015053,0.007275833,0.001205333
4898,18.55064116,19.89835358,19.96381446,4.799751417,0.057273,0.008545875,0.013770291,0.001579583
5224,18.61715072,19.96956514,19.96381446,5.207425625,0.055795959,0.013065125,0.007365875,0.001289916
5882,18.70479536,19.96956514,19.96381446,5.510753834,0.06937525,0.015400167,0.018216041,0.00169675
6488,18.85876922,19.96956514,19.96381446,5.959493792,0.084058,0.034998208,0.04470475,0.010340792
7983,19.22000831,19.96956514,19.96381446,6.510475042,0.090416875,0.014058458,0.016753708,0.001284375
9230,19.33342322,19.96956514,19.96381446,6.964385875,0.094670792,0.016689292,0.011017792,0.001350125
9751,19.33318895,19.96956514,19.96381446,7.275301834,0.082786125,0.02073725,0.028820583,0.001694458
12639,19.3934634,19.96956514,19.96880275,7.877887459,0.06166925,0.008210083,0.00755175,0.001648208
13233,19.44272482,19.96956514,19.96880275,8.067683167,0.039546208,0.014838167,0.006811167,0.001209792
14899,19.45579583,19.96956514,19.96880275,8.390105334,0.041397666,0.009991375,0.007269291,0.0012315
16079,19.48788199,19.96956514,19.96937947,8.65746175,0.039088292,0.024252333,0.013283709,0.001413917
17160,19.42677659,19.96956514,19.96937947,8.892812667,0.041355209,0.013274542,0.007253334,0.001212833
17991,19.47337824,19.96956514,19.96937947,9.2467355,0.063068459,0.012518459,0.008775875,0.001133291
21052,19.57692466,19.96956514,19.96937947,9.75855125,0.043039959,0.008076334,0.007462416,0.001164958
22602,19.56954929,19.96956514,19.96937947,10.073245,0.050484084,0.009276375,0.013191125,0.001866166
26415,19.69193227,19.96956514,19.96937947,10.620596959,0.043240084,0.007301042,0.006595042,0.001163
30870,19.70382588,19.96956514,19.96937947,11.233912667,0.04400175,0.009112208,0.007048167,0.00130125
36711,19.72565857,19.97027872,19.96937947,11.987504625,0.040015875,0.006740084,0.006420583,0.001126
