Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,0.0,0.37955009,0.22863071,1.0,0.446805041,0.051808708,0.159475083,0.124497542,0.012676584,0.0,1.0
5,0.0,0.30794418,0.22057054,1.0,0.780490375,0.044551042,0.108775375,0.107627458,0.010805375,0.0,1.0
8,0.0,0.29787814,0.25658398,1.0,1.124382291,0.051672625,0.111930458,0.1085055,0.011282125,0.0,1.0
10,0.0,0.26599406,0.28505002,1.0,1.445621375,0.044429542,0.110189,0.101155709,0.008897875,0.0,1.0
12,0.0,0.26889242,0.31133034,1.0,1.786935625,0.055781083,0.116431041,0.102544125,0.010024417,0.0,1.0
16,0.0,0.27151363,0.37108435,1.0,2.125550666,0.056287625,0.106840542,0.110104792,0.010773166,0.0,1.0
20,0.0,0.28012679,0.36029142,1.0,2.717948416,0.055254042,0.247171542,0.22088375,0.009164542,0.0,1.0
23,0.0,0.27898709,0.33462073,1.0,3.111419125,0.055063,0.155726583,0.112187208,0.009688584,0.0,1.0
26,0.0,0.31218256,0.40809141,1.0,3.49493725,0.059547083,0.14034575,0.107706708,0.010165459,0.0,1.0
30,0.0,0.35494258,0.36611995,1.0,3.851348666,0.056118834,0.110406292,0.110172125,0.009357292,0.0,1.0
37,0.0,0.38145345,0.37444889,1.0,4.33231625,0.062065959,0.168019125,0.160515792,0.009375375,0.0,1.0
40,0.0,0.3960314,0.38538233,0.99999999,4.791829041,0.109199542,0.16299975,0.101354209,0.0104415,0.0,1.0
50,0.0,0.3854609,0.3606489,0.99999973,5.200454791,0.068751542,0.144369583,0.12414175,0.00860775,0.0,0.99999986
60,1.0E-8,0.39684721,0.38055466,0.99999894,5.65849425,0.081022875,0.156540125,0.135036334,0.011543167,0.0,0.99999902
70,1.1E-7,0.41269005,0.39877256,0.99999526,6.063478958,0.073352584,0.159867083,0.10122375,0.008808084,7.0E-8,0.9999956
80,7.3E-7,0.40965242,0.34337625,0.99996904,6.453403958,0.076350042,0.122431583,0.116146166,0.010043667,4.6E-7,0.99997108
90,2.08E-6,0.41814811,0.36296991,0.99992017,6.834649458,0.080409208,0.123808417,0.107220375,0.008581125,1.2E-6,0.99992384
100,4.56E-6,0.41536101,0.36142219,0.99985964,7.250709958,0.087259917,0.153957375,0.103236625,0.009491792,2.51E-6,0.99986647
110,1.429E-5,0.41922656,0.37748263,0.99976654,7.638907958,0.081581291,0.124147083,0.112174625,0.010348083,9.92E-6,0.99977673
120,2.768E-5,0.41844938,0.36619987,0.99967333,8.031329666,0.086552291,0.124589,0.109505875,0.009974083,2.121E-5,0.99968756
130,4.802E-5,0.4222864,0.39512743,0.9995265,8.437690041,0.08507175,0.145484958,0.101461958,0.010180084,4.003E-5,0.99954957
140,1.0252E-4,0.42428719,0.41392618,0.99942473,8.807514333,0.085807791,0.1108935,0.106218833,0.010023875,8.635E-5,0.99944953
145,1.381E-4,0.42215781,0.42023943,0.99927208,9.204306625,0.090050375,0.138633125,0.103305417,0.009702917,1.1611E-4,0.99930703
150,1.6305E-4,0.42215781,0.41682251,0.99909379,9.595782458,0.08817925,0.123052959,0.111667542,0.009608958,1.3593E-4,0.99913221
160,2.9418E-4,0.41663698,0.41170448,0.99889164,10.0084245,0.093321417,0.144883208,0.102405917,0.010306959,2.5072E-4,0.9989461
170,4.8498E-4,0.42064393,0.38448294,0.99853773,10.388949291,0.09331225,0.107482333,0.107285917,0.010549042,3.417E-4,0.99860796
180,6.2967E-4,0.42061908,0.40834993,0.99830756,10.804724375,0.105448083,0.140003042,0.104851667,0.00965225,4.542E-4,0.99839434
190,8.3978E-4,0.42064737,0.40893999,0.99766279,11.211412958,0.093260625,0.141526709,0.104332083,0.009523,5.8314E-4,0.99777634
200,0.00109221,0.42146351,0.41082476,0.99720746,11.602881041,0.094904042,0.128509791,0.104510875,0.009255667,7.6141E-4,0.99734658
210,0.00126561,0.42133877,0.38453809,0.99648302,12.0067865,0.099697334,0.12959975,0.103872375,0.012296958,8.3955E-4,0.99659869
220,0.00141062,0.42057202,0.41204456,0.99541451,12.398258,0.100513625,0.116928,0.106309708,0.008481667,0.00101082,0.99570272
230,0.00157695,0.41961555,0.40960485,0.99447287,12.809331458,0.096263,0.142725791,0.101573416,0.009724542,0.00130876,0.99479999
240,0.00191568,0.41915442,0.39905703,0.99350206,13.194448208,0.09911875,0.11384675,0.104352709,0.009557667,0.00153335,0.99398461
250,0.00223694,0.42036378,0.40758465,0.99236378,13.604193166,0.101307667,0.133226708,0.105687792,0.010616125,0.00177664,0.99289231
260,0.00265337,0.41914343,0.41140127,0.9915029,14.081691041,0.098145041,0.202121,0.108250959,0.008731125,0.00205,0.99213195
270,0.00315113,0.42237391,0.41452126,0.99080068,14.491939458,0.1060675,0.117404625,0.11504925,0.010992875,0.0023399,0.99148308
280,0.0037145,0.42199313,0.41046278,0.98935787,15.106134083,0.102322667,0.157069166,0.156102291,0.013546959,0.0028169,0.99020245
290,0.00402807,0.4200161,0.40555253,0.98828478,15.627471375,0.136522667,0.149995,0.155747167,0.010322708,0.00310029,0.98891056
300,0.00472626,0.42012788,0.41401245,0.98789208,16.135573125,0.116334458,0.168035958,0.1388275,0.0089285,0.00387335,0.98846059
310,0.00547251,0.41989045,0.41339015,0.98663039,16.654035125,0.16840125,0.1224985,0.139091125,0.011178042,0.00461694,0.9873161
320,0.00603623,0.41930729,0.41309702,0.98493661,17.115109291,0.108236708,0.156993833,0.116226583,0.010007708,0.00495118,0.98590443
330,0.00646193,0.42087932,0.41726057,0.98401947,17.64283175,0.11663775,0.144653875,0.142216667,0.017683375,0.00540481,0.9847841
340,0.00727496,0.42122678,0.41433319,0.98263065,18.108891,0.141068208,0.134885041,0.115271917,0.009288,0.00616632,0.98351496
350,0.00790417,0.42203739,0.41639879,0.98114278,18.539127083,0.106171209,0.121854125,0.111143042,0.010803583,0.00684857,0.98210657
360,0.0086838,0.42144234,0.41315392,0.9800326,18.973669291,0.109021708,0.125763375,0.127936208,0.009455125,0.00765864,0.98115272
370,0.00891822,0.42147841,0.41118455,0.97862972,19.431761583,0.113890541,0.160920834,0.107915125,0.009794333,0.00790529,0.97978108
