Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC
0,10.0,10.0,14.63842187,0.0,6.53166E-4,0.003433458,0.001710417,4.98417E-4
4,10.0,10.0,15.25204219,0.027871459,0.018824,0.001660209,0.003039792,0.001359208
7,10.0,10.0,15.25204219,0.052051542,0.017128541,0.001269416,0.001255667,5.76208E-4
9,10.0,10.0,15.25204219,0.082384084,0.020559541,0.001427375,0.001033,3.66125E-4
23,10.0,10.0,15.25204219,0.105957459,0.01562225,0.001311,0.001025167,3.72667E-4
36,10.0,10.0,15.25204219,0.135378167,0.019005,0.001351875,0.001077916,3.77666E-4
62,10.0,10.0,15.25204219,0.163981834,0.016353666,0.003068167,0.001079667,3.90917E-4
98,10.0,10.0,15.25204219,0.201477709,0.025813584,0.001298166,0.001142,3.83667E-4
168,10.7813698,14.78811039,15.25204219,0.237971625,0.022957333,0.001451166,0.001266416,5.16667E-4
194,11.18844285,14.78811039,15.25204219,0.275674375,0.024824125,0.001699125,0.001178583,4.03459E-4
275,11.64158985,14.78811039,15.25204219,0.305039042,0.016380541,0.001301375,0.001051417,3.965E-4
338,12.43169474,14.78811039,15.25204219,0.3410575,0.019072333,0.001551042,0.001215666,6.00791E-4
469,12.90916411,15.04081102,15.25204219,0.376262125,0.018761167,0.0016355,0.001175042,3.78708E-4
903,13.49350558,15.33299344,15.25204219,0.429129459,0.020066042,0.001459542,0.001235167,5.35625E-4
1027,13.69970825,15.33299344,15.25204219,0.470661834,0.017591708,0.0012125,0.001010958,3.78916E-4
1052,13.68119868,15.33299344,15.25204219,0.514494834,0.027248959,0.001695417,0.001528709,4.93667E-4
1478,14.26342948,15.33299344,15.25204219,0.573473334,0.019793833,0.001398625,0.001100458,5.88584E-4
2346,14.76993644,15.33299344,15.25204219,0.640658959,0.017338291,0.001324042,0.001016167,3.99083E-4
2832,14.78711809,15.33299344,15.31750219,0.696713584,0.021004666,0.001282833,0.001050958,3.88209E-4
3210,14.86054272,15.33299344,15.31750219,0.744647625,0.016301292,0.001290458,9.90167E-4,4.05375E-4
3758,14.79781314,15.33299344,15.31750219,0.79551625,0.016454875,0.001350375,9.94291E-4,3.57417E-4
4258,14.73190449,15.33299344,15.31750219,0.854055625,0.021037584,0.001342375,0.001212916,5.335E-4
4736,14.77492312,15.33299344,15.31750219,0.903786084,0.017827209,0.001321583,9.98917E-4,3.41083E-4
6012,14.76374874,15.33299344,15.31750219,0.983011125,0.015952666,0.0012775,0.001061084,3.71042E-4
6702,14.78138922,15.33299344,15.31750219,1.04781625,0.016942334,0.001348083,0.001274167,4.88584E-4
8763,14.90440683,15.33299344,15.33299344,1.16709975,0.016615875,0.003515916,0.001188959,3.55917E-4
10231,14.96222032,15.33299344,15.33299344,1.259402,0.01762675,0.001372291,0.001017833,3.53541E-4
12579,15.07106616,15.33299344,15.31750219,1.405289709,0.018742375,0.001516667,0.001312,4.62708E-4
14484,15.05093713,15.33299344,15.31750219,1.577106584,0.037050167,0.039989917,0.001538625,5.42625E-4
17545,15.09339365,15.33299344,15.33299344,1.738005917,0.025386333,0.001769542,0.001470667,6.09125E-4
20610,15.07329914,15.33299344,15.33299344,1.918083292,0.018856125,0.001711333,0.001126208,0.002549958
23030,15.0253113,15.33299344,15.33299344,2.066326125,0.01624125,0.001542584,0.002424375,0.001215708
37282,15.0329268,15.33299344,15.33299344,2.6968515,0.02060275,0.001556917,0.0011715,4.26708E-4
42164,15.03799986,15.33299344,15.33299344,2.960219417,0.024947583,0.001376292,0.001166458,5.14334E-4
66737,15.14855032,15.33299344,15.33299344,4.094396834,0.016039583,0.001460791,0.001028208,2.98417E-4
87188,15.14195527,15.33299344,15.33299344,4.977545292,0.017024417,0.001838625,0.001176125,4.6975E-4
94649,15.13789546,15.33299344,15.33299344,5.315595375,0.01793575,0.00167825,0.001272792,3.63833E-4
100000,15.12659239,15.33299344,15.33299344,5.584113084,0.017928041,0.001602,0.001381,3.70375E-4
