Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC
0,10.0,10.0,14.63842187,0.0,5.9875E-4,0.001118084,9.54417E-4,2.76833E-4
4,10.0,10.0,15.25204219,0.016274625,0.011014792,0.001269333,0.0010925,3.55875E-4
7,10.0,10.0,15.25204219,0.0392855,0.010343625,0.002028333,0.00397225,0.001834958
9,10.0,10.0,15.25204219,0.060963542,0.0116585,0.001318666,0.001065334,3.72875E-4
23,10.0,10.0,15.25204219,0.08255275,0.009834042,0.001368167,0.003286625,0.001558875
36,10.0,10.0,15.25204219,0.108093375,0.011624459,0.001457375,0.001040209,3.68333E-4
62,10.0,10.0,15.25204219,0.139038333,0.013574417,0.001694833,0.001214917,3.61541E-4
98,10.0,10.0,15.25204219,0.173330708,0.015819834,0.001284917,0.005728,0.00152975
168,10.7813698,14.78811039,15.25204219,0.203833667,0.013262875,0.001472542,0.00141525,4.07458E-4
194,11.18844285,14.78811039,15.25204219,0.235420833,0.019276625,0.001344667,0.001052917,3.68E-4
275,11.64158985,14.78811039,15.25204219,0.267780708,0.010526167,0.004382167,0.004256125,0.001448667
338,12.43169474,14.78811039,15.25204219,0.293726167,0.011910916,0.001322041,0.001072791,3.71709E-4
469,12.90916411,15.04081102,15.25204219,0.3283725,0.018804208,0.001642083,0.001207792,4.19917E-4
903,13.49350558,15.33299344,15.25204219,0.373406833,0.01526975,0.001334833,0.0012715,4.17667E-4
1027,13.69970825,15.33299344,15.25204219,0.41024425,0.019843583,0.001347791,0.001099583,3.72916E-4
1052,13.68119868,15.33299344,15.25204219,0.44152525,0.013519167,0.001488916,0.001735125,0.003145917
1478,14.26342948,15.33299344,15.25204219,0.485762875,0.010349042,0.001448375,0.002678625,0.001153958
2346,14.76993644,15.33299344,15.25204219,0.5453015,0.011575042,0.001343083,0.001000375,3.28541E-4
2832,14.78711809,15.33299344,15.31750219,0.601600542,0.011930292,0.003242,0.004257208,0.001597834
3210,14.86054272,15.33299344,15.31750219,0.647032667,0.010959,0.001478458,0.001181125,4.51E-4
3758,14.79781314,15.33299344,15.31750219,0.702028958,0.011270834,0.001295,0.001061667,3.79167E-4
4258,14.73190449,15.33299344,15.31750219,0.751247208,0.010844125,0.001288208,0.001059625,3.69625E-4
4736,14.77492312,15.33299344,15.31750219,0.811666792,0.020059125,0.001823375,0.001561417,4.42875E-4
6012,14.76374874,15.33299344,15.31750219,0.926338167,0.020040875,0.001869834,0.001241958,3.99209E-4
6702,14.78138922,15.33299344,15.31750219,1.004369417,0.01420125,0.0015405,0.001196,3.63584E-4
8763,14.90440683,15.33299344,15.33299344,1.121901125,0.011717833,0.00133575,9.77583E-4,3.4775E-4
10231,14.96222032,15.33299344,15.33299344,1.2162455,0.013831125,0.001422583,0.001675459,6.8575E-4
12579,15.07106616,15.33299344,15.31750219,1.365079,0.016488042,0.003093042,0.001658083,4.25625E-4
14484,15.05093713,15.33299344,15.31750219,1.480173042,0.012082042,0.004096,0.001272084,4.05333E-4
17545,15.09339365,15.33299344,15.33299344,1.634574167,0.016268334,0.001349292,0.001083792,3.69875E-4
20610,15.07329914,15.33299344,15.33299344,1.796038125,0.010231417,0.001254917,9.6375E-4,3.29292E-4
23030,15.0253113,15.33299344,15.33299344,1.944480583,0.014736667,0.0013955,0.001069291,3.82083E-4
37282,15.0329268,15.33299344,15.33299344,2.59816125,0.010869917,0.003482458,0.005949958,6.80125E-4
42164,15.03799986,15.33299344,15.33299344,2.830901917,0.014286333,0.0015585,0.001095667,4.13916E-4
66737,15.14855032,15.33299344,15.33299344,3.94677775,0.010334084,0.00157925,0.001084125,2.88042E-4
87188,15.14195527,15.33299344,15.33299344,4.798390042,0.010713959,0.00197075,0.001045541,3.13083E-4
94649,15.13789546,15.33299344,15.33299344,5.319307708,0.029257459,0.002668375,0.001224041,4.2425E-4
100000,15.12659239,15.33299344,15.33299344,5.6740175,0.012247667,0.001829709,0.004454417,7.78917E-4
