Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC
1053,10.20090307,10.6,14.307545,0.865078708,0.007881042,0.001446167,0.001082542,6.15292E-4
1076,10.20090307,10.6,14.0493125,0.878052791,0.007644,0.001510625,0.001152959,6.18708E-4
1096,10.20090307,10.6,15.0027,0.89222375,0.009443625,0.001501708,0.001149458,5.91208E-4
1102,10.19858247,10.6,14.7683175,0.915182625,0.007541792,0.012230708,0.001633292,6.4225E-4
1139,10.23073932,10.6,14.72609,0.9273825,0.007164708,0.001535833,0.001223208,4.17875E-4
1192,10.22141044,10.6,14.29562563,0.93966825,0.006953417,0.00142375,0.001050541,3.49667E-4
1257,10.21215414,10.6,14.634385,0.95535025,0.009759791,0.001606666,0.00114725,4.24375E-4
1276,10.21247141,10.6,15.26160469,0.971367083,0.0102305,0.002053292,0.001381667,4.90375E-4
1360,10.22293639,10.6,15.05365125,0.984646166,0.00692975,0.001526625,0.001068458,3.48541E-4
1416,10.24076013,10.6,14.99298352,0.99761875,0.006400541,0.001328416,0.001956083,6.48875E-4
1526,10.31685219,10.6,15.0704625,1.010991416,0.00638075,0.001367958,0.001088584,4.00625E-4
1609,10.32108264,10.6,14.13471141,1.024202666,0.006696375,0.001473667,0.001531542,4.32708E-4
1647,10.32108264,10.6,14.68912969,1.036786125,0.007051625,0.002034834,0.001190916,4.32583E-4
1704,10.32445181,10.6,13.93171094,1.048341166,0.006798458,0.001408458,0.001037291,3.75542E-4
1736,10.3185779,10.6,13.9731,1.060264041,0.006652375,0.00171975,0.001345542,5.18834E-4
1768,10.3185779,10.6,14.791515,1.071827333,0.006630792,0.001477,0.001338167,4.74083E-4
1798,10.35519984,10.6,14.45787625,1.083979416,0.007443292,0.001619833,0.00132425,4.14375E-4
1906,10.40406331,10.6,14.34782,1.098443291,0.00642875,0.0014165,0.001002167,5.19041E-4
1933,10.40406331,10.6,14.3865,1.110456958,0.006548167,0.001851916,0.001466167,6.3475E-4
2037,10.40188078,10.6,14.293685,1.130235375,0.007154667,0.001705625,0.001461,4.42459E-4
2056,10.40188078,10.6,14.098725,1.140403625,0.00643875,0.001265417,0.001010917,3.57E-4
2071,10.40188078,10.6,14.21267,1.150627916,0.006455208,0.001332,0.001086792,3.83459E-4
2079,10.40188078,10.6,14.15279578,1.161209791,0.006835375,0.001443333,0.001198459,3.74833E-4
2235,10.39498735,10.6,14.99350188,1.178840958,0.009591375,0.001340125,0.001052709,3.46542E-4
2405,10.41099129,10.6,15.21180469,1.1939815,0.006802708,0.00133925,0.00101025,3.715E-4
